sequence,tax_id,superkingdom,phylum,class,order,family,genus,species
S001095420,1033810,Bacteria,NA,NA,Haloplasmatales,Haloplasmataceae,Haloplasma,Haloplasma_contractile
S000004362,52958,Bacteria,NA,NA,NA,NA,NA,phototrophic_bacterium
S000351762,59374,Bacteria,Fibrobacteres,Fibrobacteria,Fibrobacterales,Fibrobacteraceae,Fibrobacter,Fibrobacter_succinogenes
S000351764,28122,Bacteria,Fibrobacteres,Fibrobacteria,Fibrobacterales,Fibrobacteraceae,Fibrobacter,Fibrobacter_intestinalis
S001873793,706585,Bacteria,Fibrobacteres,Fibrobacteria,Fibrobacterales,Fibrobacteraceae,Fibrobacter,Fibrobacter_succinogenes
S000129434,518766,Bacteria,Bacteroidetes,NA,Bacteroidetes_Order_II._Incertae_sedis,Rhodothermaceae,Rhodothermus,Rhodothermus_marinus
S001351089,633813,Bacteria,Bacteroidetes,NA,Bacteroidetes_Order_II._Incertae_sedis,Rhodothermaceae,Rhodothermus,Rhodothermus_profundi
S002234456,890425,Bacteria,Rhodothermaeota,Rhodothermia,Rhodothermales,Salinibacteraceae,Salinivenus,Salinivenus_iranica
S002234457,890426,Bacteria,Rhodothermaeota,Rhodothermia,Rhodothermales,Salinibacteraceae,Salinivenus,Salinivenus_lutea
S004065177,309807,Bacteria,Bacteroidetes,NA,Bacteroidetes_Order_II._Incertae_sedis,Rhodothermaceae,Salinibacter,Salinibacter_ruber
S001044616,503170,Bacteria,Bacteroidetes,NA,Bacteroidetes_Order_II._Incertae_sedis,Rhodothermaceae,Salisaeta,Salisaeta_longa
S003298568,1196024,Bacteria,Rhodothermaeota,Rhodothermia,Rhodothermales,Rubricoccaceae,Rubrivirga,Rubrivirga_marina
S002235816,716817,Bacteria,Rhodothermaeota,Rhodothermia,Rhodothermales,Rubricoccaceae,Rubricoccus,Rubricoccus_marinus
S000385214,1008,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Saprospiraceae,Saprospira,Saprospira_grandis
S000420510,1008,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Saprospiraceae,Saprospira,Saprospira_grandis
S000436387,1008,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Saprospiraceae,Saprospira,Saprospira_grandis
S000503097,263637,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Saprospiraceae,Saprospira,Saprospira_sp._CNJ537
S003749481,1008,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Saprospiraceae,Saprospira,Saprospira_grandis
S000539621,760192,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Saprospiraceae,Haliscomenobacter,Haliscomenobacter_hydrossis
S000427980,70995,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Saprospiraceae,Lewinella,Lewinella_cohaerens
S000427982,70997,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Saprospiraceae,Lewinella,Lewinella_nigricans
S000427983,70998,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Saprospiraceae,Lewinella,Lewinella_persica
S000860308,442734,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Saprospiraceae,Lewinella,Lewinella_antarctica
S000964168,438752,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Saprospiraceae,Lewinella,Lewinella_lutea
S000964169,438751,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Saprospiraceae,Lewinella,Lewinella_marina
S000964711,478744,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Saprospiraceae,Lewinella,Lewinella_agarilytica
S003261769,1099794,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Saprospiraceae,Portibacter,Portibacter_lacus
S000749526,365033,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Saprospiraceae,Aureispira,Aureispira_marina
S000841571,407844,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Saprospiraceae,Aureispira,Aureispira_maritima
S003710953,454600,Bacteria,Rhodothermaeota,Balneolia,Balneolales,Balneolaceae,Gracilimonas,Gracilimonas_tropica
S003719253,1302730,Bacteria,Rhodothermaeota,Balneolia,Balneolales,Balneolaceae,Gracilimonas,Gracilimonas_mengyeensis
S003720498,1309792,Bacteria,Rhodothermaeota,Balneolia,Balneolales,Balneolaceae,Gracilimonas,Gracilimonas_rosea
S002226176,860790,Bacteria,Rhodothermaeota,Balneolia,Balneolales,Balneolaceae,Fodinibius,Fodinibius_salinus
S003298743,1194090,Bacteria,Rhodothermaeota,Balneolia,Balneolales,Balneolaceae,Aliifodinibius,Aliifodinibius_roseus
S003298744,1214077,Bacteria,Rhodothermaeota,Balneolia,Balneolales,Balneolaceae,Aliifodinibius,Aliifodinibius_sediminis
S000594445,287535,Bacteria,Rhodothermaeota,Balneolia,Balneolales,Balneolaceae,Balneola,Balneola_vulgaris
S000893789,455359,Bacteria,Rhodothermaeota,Balneolia,Balneolales,Balneolaceae,Balneola,Balneola_alkaliphila
S003719248,1302690,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Cnuella,Cnuella_takakiae
S000891314,454188,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Thermoflavifilum,Thermoflavifilum_aggregans
S001351630,669455,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Vibrionimonas,Vibrionimonas_magnilacihabitans
S004082557,1465490,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Parafilimonas,Parafilimonas_terrae
S003616102,1239958,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Heliimonas,Heliimonas_saccharivorans
S003283517,1162689,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Asinibacterium,Asinibacterium_lactis
S000384743,104663,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Chitinophaga,Chitinophaga_filiformis
S000384749,104662,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Chitinophaga,Chitinophaga_japonensis
S000384760,1004,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Chitinophaga,Chitinophaga_sancti
S000428531,485918,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Chitinophaga,Chitinophaga_pinensis
S000537535,331697,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Chitinophaga,Chitinophaga_skermanii
S000627910,363837,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Chitinophaga,Chitinophaga_ginsengisoli
S000652879,29529,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Chitinophaga,Chitinophaga_arvensicola
S000711140,393003,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Chitinophaga,Chitinophaga_ginsengisegetis
S000749598,408074,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Chitinophaga,Chitinophaga_terrae_Kim_and_Jung_2007
S001045468,536979,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Chitinophaga,Chitinophaga_niabensis
S001045469,536980,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Chitinophaga,Chitinophaga_niastensis
S001351172,634771,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Chitinophaga,Chitinophaga_eiseniae
S001611311,573321,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Chitinophaga,Chitinophaga_rupis
S002952609,1031224,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Chitinophaga,Chitinophaga_oryziterrae
S002960728,1096750,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Chitinophaga,Chitinophaga_cymbidii
S003717675,1305695,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Chitinophaga,Chitinophaga_taiwanensis
S003803879,1293035,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Chitinophaga,Chitinophaga_polysaccharea
S003805049,1335309,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Chitinophaga,Chitinophaga_costaii
S003807608,1419482,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Chitinophaga,Chitinophaga_jiangningensis
S003807730,1569794,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Chitinophaga,Chitinophaga_qingshengii
S004043692,624395,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Chitinophaga,Chitinophaga_ginsengihumi
S004216934,1502384,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Chitinophaga,Chitinophaga_longshanensis
S000964290,477680,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Filimonas,Filimonas_lacunae
S001096320,510947,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Lacibacter,Lacibacter_cauensis
S003721319,1319580,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Lacibacter,Lacibacter_daechungensis
S003612845,1235997,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Hydrobacter,Hydrobacter_penzbergensis
S002304353,551991,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Arachidicoccus,Arachidicoccus_rhizosphaerae
S001873908,708199,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Flavitalea,Flavitalea_gansuensis
S002225597,796384,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Flavitalea,Flavitalea_populi
S003719530,1303085,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Taibaiella,Taibaiella_smilacinae
S003753597,1268548,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Taibaiella,Taibaiella_koreensis
S003923295,1434707,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Taibaiella,Taibaiella_chishuiensis
S000643547,1123356,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Terrimonas,Terrimonas_ferruginea
S000650534,296052,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Terrimonas,Terrimonas_lutea
S001199186,570279,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Terrimonas,Terrimonas_aquatica
S002913330,1035890,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Terrimonas,Terrimonas_rubra
S002913810,1038693,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Terrimonas,Terrimonas_pekingensis
S004217724,1507286,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Terrimonas,Terrimonas_arctica
S000620069,354355,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Niastella,Niastella_yeongjuensis
S000620070,700598,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Niastella,Niastella_koreensis
S001155759,550983,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Niastella,Niastella_populi
S000653916,379900,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Niabella,Niabella_aurantiaca
S000871543,929713,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Niabella,Niabella_soli
S001098271,522298,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Niabella,Niabella_ginsengisoli
S001242383,577386,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Niabella,Niabella_yanshanensis
S001873846,706120,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Niabella,Niabella_tibetensis
S003754041,1285929,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Niabella,Niabella_hirudinis
S003754042,1285928,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Niabella,Niabella_drilacis
S000721190,398045,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Flavisolibacter,Flavisolibacter_ginsengiterrae
S000721191,462367,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Flavisolibacter,Flavisolibacter_ginsengisoli
S002339679,940145,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Flavisolibacter,Flavisolibacter_rigui
S000721192,398037,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Segetibacter,Segetibacter_koreensis
S001589376,670293,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Segetibacter,Segetibacter_aerophilus
S001155076,1220578,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Flavihumibacter,Flavihumibacter_petaseus
S003920854,1442385,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Flavihumibacter,Flavihumibacter_cheonanensis
S004076687,1349421,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Flavihumibacter,Flavihumibacter_solisilvae
S002033099,714549,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Hydrotalea,Hydrotalea_flava
S003289062,1004304,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Hydrotalea,Hydrotalea_sandarakina
