sequence,revcom,phylum,class,order,family,genus,species
GBEHU2E07D26LN,False,Firmicutes,Clostridia,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E07D29JB,False,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Fastidiosipila,Fastidiosipila_sanguinis
GBEHU2E07D2Z7N,True,Actinobacteria,Actinobacteria,Corynebacteriales,Unclassified,Unclassified,Unclassified
GBEHU2E07D39KT,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E07D3CHV,False,Firmicutes,Clostridia,Halanaerobiales,Halobacteroidaceae,Unclassified,Unclassified
GBEHU2E07D3G45,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E07D3NWS,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E07D3V9P,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E07D3WDW,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E07D3WZX,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E07D3XFV,False,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Unclassified
GBEHU2E07D3YYY,False,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium_plurextorum
GBEHU2E07D417D,False,Actinobacteria,Actinobacteria,Acidothermales,Acidothermaceae,Acidothermus,Acidothermus_cellulolyticus
GBEHU2E07D45DH,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E07D4CQJ,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E07D4D3I,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E07D4FOM,False,Bacteroidetes,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E07D4MHM,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E07D4MPE,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E07D4Y50,False,Firmicutes,Clostridia,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E07D50W5,False,Firmicutes,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E07D53UL,False,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Fastidiosipila,Fastidiosipila_sanguinis
GBEHU2E07D5H2G,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E07D5HL7,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E07D5K6G,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E07D5KIU,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E07D5LII,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E07D5N9F,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E07D5R0F,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E07D5RLY,False,Firmicutes,Clostridia,Clostridiales,Unclassified,Unclassified,Unclassified
GBEHU2E07D5XBG,False,Firmicutes,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E07D5XWO,False,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Salegentibacter,Unclassified
GBEHU2E07D6AVF,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E07D6DC1,False,Firmicutes,Clostridia,Clostridiales,Unclassified,Unclassified,Unclassified
GBEHU2E07D6FRB,False,Firmicutes,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E07D6QDN,False,Firmicutes,Clostridia,Clostridiales,Unclassified,Unclassified,Unclassified
GBEHU2E07D6QOO,False,Firmicutes,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E07D6Z41,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E07D70Y0,False,Firmicutes,Clostridia,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E07D734K,False,Firmicutes,Clostridia,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E07D7HUE,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E07D7I0U,False,Firmicutes,Clostridia,Clostridiales,Unclassified,Unclassified,Unclassified
GBEHU2E07D7R91,False,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Unclassified,Unclassified
GBEHU2E07D7RJC,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E07D7UBS,False,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified,Unclassified
GBEHU2E07D7UID,False,Firmicutes,Clostridia,Unclassified,Unclassified,Unclassified,Unclassified
