taxonomy,count
Sphingomonadaceae,1
Bacillaceae,15
Thermodesulfobiaceae,18
Shewanellaceae,1
Eubacteriaceae,21
Veillonellaceae,2
Pseudomonadaceae,1
Halobacteroidaceae,5
Corynebacteriaceae,8
Spirochaetaceae,1
Erysipelotrichaceae,39
Burkholderiaceae,1
Mycoplasmataceae,1
Acidothermaceae,34
Atopobiaceae,10
Desulfohalobiaceae,1
Promicromonosporaceae,12
Mycobacteriaceae,8
Clostridiaceae,3
Desulfovibrionaceae,2
Clostridiales_Family_XIII._Incertae_Sedis,177
Lachnospiraceae,1
Ruminococcaceae,470
Flammeovirgaceae,21
Spirulinaceae,1
Campylobacteraceae,238
Porphyromonadaceae,110
Unclassified,971
Leuconostocaceae,98
Peptoniphilaceae,16
Acholeplasmataceae,1
Comamonadaceae,1
Microbacteriaceae,67
Sphingobacteriaceae,6
Piscirickettsiaceae,1
Flavobacteriaceae,115
Peptococcaceae,9
Nocardiaceae,1
Thermoanaerobacteraceae,1
Chromobacteriaceae,1
Vibrionaceae,6
Syntrophomonadaceae,4
