taxonomy,count
Vibrio,6
Rhodococcus,1
Pelospora,3
Peptococcus,9
Weissella,98
Halospirulina,1
Eubacterium,19
Petrimonas,2
Myceligenerans,12
Chromobacterium,1
Clostridium,2
Weeksella,11
Porphyromonas,89
Pseudomonas,1
Gottschalkia,14
Microbacterium,67
Campylobacter,238
Ruminiclostridium,29
Coprothermobacter,9
Treponema,1
Anaerococcus,1
Salegentibacter,1
Corynebacterium,7
Unclassified,1319
Atopobium,7
Methylophaga,1
Negativicoccus,2
Acholeplasma,1
Shewanella,1
Mycobacterium,8
Desulfovibrio,2
Ercella,1
Acidothermus,34
Fastidiosipila,257
Mycoplasma,1
Mogibacterium,28
Flavobacterium,80
Anaerovorax,136
