taxonomy,count
Thermoanaerobacterales,20
Halanaerobiales,5
Sphingobacteriales,6
Erysipelotrichales,39
Neisseriales,1
Sphingomonadales,1
Clostridiales,860
Veillonellales,2
Thiotrichales,1
Cytophagales,21
Bacillales,71
Lactobacillales,98
Burkholderiales,2
Pseudomonadales,1
Propionibacteriales,1
Spirulinales,1
Unclassified,690
Coriobacteriales,10
Corynebacteriales,24
Spirochaetales,1
Mycoplasmatales,1
Alteromonadales,1
Rhizobiales,4
Flavobacteriales,116
Campylobacterales,238
Vibrionales,6
Tissierellales,16
Acholeplasmatales,1
Bacteroidales,112
Desulfovibrionales,3
Micrococcales,113
Acidothermales,34
