taxonomy,count
Negativicoccus_succinicivorans,2
Anaerovorax_odorimutans,136
Weeksella_virosa,11
Peptococcus_niger,9
Chromobacterium_violaceum,1
Flavobacterium_plurextorum,11
Eubacterium_pyruvativorans,5
Campylobacter_hominis,221
Petrimonas_sulfuriphila,2
Pelospora_glutarica,3
Methylophaga_nitratireducenticrescens,1
Porphyromonas_bennonis,44
Unclassified,1749
Corynebacterium_glyciniphilum,1
Fastidiosipila_sanguinis,257
Desulfovibrio_salexigens,1
Myceligenerans_halotolerans,8
Halospirulina_tapeticola,1
Ercella_succinigenes,1
Acidothermus_cellulolyticus,34
Mycoplasma_feliminutum,1
Atopobium_deltae,1
